"","bardzo","naj","bysmy_bym","wiekszy","wszystko","albo","ze"
"1375",0,0,0,0,0,0,0
"1385",0,0,0,0,0.418103448275862,0,0
"1395",0,0,0,0,0.418103448275862,0,0
"1405",0,0,0,0,0.418103448275862,0,0
"1415",0,0.25,0,0,0.421739130434783,0,0
"1425",0,0.0357142857142857,0,0,0.521885521885522,0.174438687392055,0.15625
"1435",0,0.105263157894737,0.0350877192982456,0,0.161998485995458,0.0760353021045485,0.161702127659574
"1445",0,0.1,0.0479041916167665,0,0.233939393939394,0.153903070662227,0.102564102564103
"1455",0,0.104166666666667,0.0807174887892377,0,0.232466063348416,0.153392330383481,0.0992217898832685
"1465",0,0.0930232558139535,0.177121771217712,0,0.21908315565032,0.15311004784689,0.0952677459526775
"1475",0,0.181818181818182,0.160377358490566,0,0.211063372717508,0.141082519964508,0.0765987350667604
"1485",0,0.027027027027027,0.229268292682927,0,0.377179080824089,0.245011971268955,0.00276243093922652
"1495",0.00357142857142857,0.0232558139534884,0.16304347826087,0,0.132701421800948,0.0176056338028169,0.00127877237851662
"1505",0.0136986301369863,0.0303030303030303,0.167647058823529,0,0.106078665077473,0.0419485791610284,0.00426829268292683
"1515",0.0137299771167048,0.0303030303030303,0.2,0.0786516853932584,0.177215189873418,0.0708795900939368,0.0971115537848606
"1525",0.0116279069767442,0.0416666666666667,0.216842105263158,0.0947368421052632,0.137037037037037,0.0741023682200153,0.134239592183517
"1535",0.00943396226415094,0.137614678899083,0.267950963222417,0.0927835051546392,0.131326949384405,0.0705669481302774,0.17002688172043
"1545",0.00893997445721584,0.146892655367232,0.568319226118501,0.108333333333333,0.3911066195048,0.106391425168718,0.386466165413534
"1555",0.00678294573643411,0.226415094339623,0.583529411764706,0.0625,0.532342927886103,0.121175030599755,0.532162857575299
"1565",0.0053639846743295,0.214814814814815,0.589541547277937,0.024896265560166,0.525623458481776,0.129719712763493,0.481109953100573
"1575",0.00948509485094851,0.29366106080207,0.691625069328896,0.010498687664042,0.565029792479967,0.201140385371608,0.487073896133608
"1585",0.032247228753779,0.266211604095563,0.77861089187056,0.0665499124343257,0.464179636450042,0.456658533453191,0.523369492433373
"1595",0.0300800692490803,0.527482678983834,0.8098271155596,0.0819477434679335,0.422250209907641,0.543772527032439,0.562347760914371
"1605",0.0834586466165414,0.54127358490566,0.85721910862023,0.12198649951784,0.388966971187632,0.614347270986275,0.573543780533634
"1615",0.0865236051502146,0.572623574144487,0.893360160965795,0.190697674418605,0.435065676756139,0.607213022733651,0.610694121554301
"1625",0.099277411247251,0.606198347107438,0.898301140330463,0.24844977263332,0.406311860188903,0.605594500782686,0.624191139870582
"1635",0.126946579932979,0.757714285714286,0.893771000258465,0.37253829321663,0.420208655332303,0.518276351031984,0.659665400350672
"1645",0.263987391646966,0.768863419293219,0.93262300219367,0.602027883396705,0.407851384507536,0.470190933887518,0.736160714285714
"1655",0.215422885572139,0.760859188544153,0.960164400885236,0.817647058823529,0.356066044508256,0.33079287031346,0.816006238728859
"1665",0.263917525773196,0.790416480071652,0.968290290944753,0.849640933572711,0.273769066624516,0.334559554583416,0.837970920239699
"1675",0.353084911423335,0.813397129186603,0.968487394957983,0.881000403388463,0.326940231935772,0.277382645803698,0.852859403738398
"1685",0.37129840546697,0.784386617100372,0.973273942093541,0.886753883892069,0.313072504269523,0.281287726358149,0.855793839908216
"1695",0.406177768438748,0.760438056125941,0.965371024734982,0.877560106856634,0.335165876777251,0.245217725656061,0.842202101389629
"1705",0.522491349480969,0.869009584664537,0.956737941322725,0.864144912093767,0.436636245110821,0.28021712907117,0.833259535707508
"1715",0.649181547619048,0.917588495575221,0.956058588548602,0.979437229437229,0.570238957277335,0.128267076652756,0.86030308308657
"1725",0.838078291814947,0.913417951042611,0.944055944055944,0.991891891891892,0.664789723737463,0.0409107079331199,0.882198536430162
"1735",0.830697340043134,0.925752246971473,0.944153577661431,0.994688922610015,0.771530134108903,0.0230354820731934,0.860882572924458
"1745",0.701012923506811,0.936162361623616,0.960178970917226,1,0.834738617200675,0.0155269922879177,0.866645532836688
"1755",0.708920187793427,0.936804451510334,0.960818458859382,1,0.850880527049284,0.0148752399232246,0.821846893955239
"1765",0.718859957776214,0.945790080738178,0.959233791748527,1,0.849869272051741,0.0150733434496712,0.800892359174568
"1775",0.649417249417249,0.97377938517179,0.971191135734072,1,0.899091077722129,0.0242650489967336,0.778689843875744
"1785",0.595604395604396,0.988071570576541,0.980206540447504,1,0.940177439797212,0.0637027206370272,0.75521448248721
"1795",0.977739726027397,0.985915492957746,0.980099502487562,1,0.96943231441048,0.00614754098360656,0.518010291595197
"1805",1,0.977134146341463,0.979228486646884,0.992424242424242,0.999112688553682,0.00851063829787234,0.723731419784726
"1815",0.998898678414097,0.976022566995769,0.984644913627639,0.994652406417112,0.9989281886388,0.0135135135135135,0.928251789976134
"1825",0.998914223669924,0.962945368171021,0.984834123222749,0.994318181818182,0.998941051888457,0.0120240480961924,0.94927130044843
"1835",0.999610440202571,0.961936090225564,0.988441780821918,0.998003992015968,0.999293685548806,0.00581395348837209,0.966866640981892
"1845",0.99961788307222,0.965945370698829,0.987452948557089,0.998069498069498,0.999303815093289,0.00574712643678161,0.967540507078646
"1855",0.99973481835057,0.965861027190332,0.986326911124922,1,0.999379524301965,0.00367647058823529,0.948937507364783
"1865",0.998331788693234,0.967755803955288,0.979057591623037,1,0.999550925094306,0.00352267723469837,0.951089328275538
"1875",0.99910447761194,0.971955128205128,0.981552981552982,1,0.9996155747158,0.0120456466610313,0.963057303063457
"1885",0.987354376182416,0.973991935483871,0.950445274346452,1,0.999605789266205,0.0448936170212766,0.959350714248789
"1895",0.989297658862876,0.973333333333333,0.952422038703316,1,0.999541473703517,0.0463821892393321,0.958564616878505
"1905",0.989071971313925,0.975990630489947,0.948572931737472,0.999439147504206,0.999580908032596,0.0470809792843691,0.961788063770521
"1915",0.990456399599784,0.977207977207977,0.953991395793499,0.999475616151023,0.999646351526583,0.0437292286164072,0.969064721790526
"1925",0.984144583656725,0.976800647423793,0.929547844374343,0.999212598425197,0.999634235552304,0.0603603603603604,0.966632836564998
"1935",0.996719775070291,0.974131274131274,0.965738161559889,0.999172870140612,0.999658974650449,0.0146543485186365,0.968489289740699
"1945",0.99335732078605,0.974828375286041,0.966638865721435,0.998963730569948,0.999789871821811,0.00263653483992467,0.972310109319427
"1955",0.992388940664803,0.972401103955842,0.969246031746032,1,0.99975373501888,0.0029093931837074,0.980028496220628
"1965",0.986349114144641,0.968712394705174,0.97,1,0.999830823887667,0.000699300699300699,0.976658932714617
"1975",0.986262768580486,0.978040540540541,0.97,1,0.9998244998245,0.000717875089734386,0.980162556826009
"1985",0.976870078740158,0.98989898989899,0.97,1,1,0.000950570342205323,0.986501766784452
"1995",0.983585858585859,0.98989898989899,0.98,1,1,0.00103842159916926,0.990360971771417
"2005",0.981146304675716,0.994736842105263,0.98,1,1,0.00123762376237624,0.990104706017719
"2015",0.97423887587822,0.991666666666667,0.98,1,1,0,0.998315789473684
