"","tytuly","rok","dlugosc","imieslow","sie","ze","iz"
"388","JarzGosc","1643","16723","30","165","43","1"
"389","KsPtaszUl_1","1643","6148","13","66","4","0"
"390","NowPow","1643","788","2","10","4","0"
"391","UffDekArch","1643","13173","24","195","65","8"
"392","MohLit","1644","29724","127","504","332","28"
"393","OkolNiebo","1644","33137","128","527","94","282"
"394","WojszOr","1644","55821","290","900","502","56"
"395","InwDomLwowGeb","1645","14787","37","179","60","22"
"396","KoniecSTatar","1645","620","4","17","2","1"
"397","KorRoz","1645","32621","42","430","243","47"
"398","OtwWGadBar_I","1645","236","0","5","3","0"
"399","SzemTorBad","1645","10521","42","131","105","15"
"400","WjazdPar","1645","2628","3","15","4","0"
"401","DiarPogKoniec","1646","1306","8","11","1","0"
"402","GorAryt","1647","23908","104","265","38","266"
"403","GorMuz","1647","6042","7","98","26","56"
"404","PopSowBar_II","1647","3032","9","51","8","6"
"405","AktPasOkon","1648","1388","5","36","5","5"
"406","GawarDzien","1648","36388","305","464","125","35"
"407","NiebAnBad","1648","1188","2","28","4","4"
"408","ComConOssKoniec","1649","1630","27","18","22","2"
"409","NowSakBad","1649","5586","24","82","59","8"
"410","OstrorMZolKoniec","1649","639","5","11","5","0"
"411","SleszDow","1649","7846","26","142","99","3"
"412","StarKaz","1649","38426","158","496","113","187"
"413","WarKom","1649","318","0","3","1","0"
"414","BanHist","1650","33602","105","581","108","104"
"415","DialKrotOkon","1650","3646","8","67","7","13"
"416","GawHelBar_II","1650","867","1","12","0","0"
"417","GrodzHerbBar_I","1650","454","1","14","3","1"
"418","GrodzLutBar_I","1650","566","1","15","3","1"
"419","InsGor_1","1650","13506","56","163","48","17"
"420","InwZolkGeb","1650","2199","1","14","6","0"
"421","KsKasUl_1","1650","32468","79","468","17","9"
"422","MorszHSumBar_I","1650","5425","14","115","32","0"
"423","ObodzLegBar_I","1650","565","7","12","0","0"
"424","OpalKSat","1650","52534","156","882","380","3"
"425","OtwWPopBar_I","1650","402","0","9","3","0"
"426","PastRel","1650","5234","50","102","23","25"
"427","PiesnNowBad","1650","671","2","10","5","0"
"428","PruszczKlejn","1650","26419","42","119","36","12"
"429","Przetocki_Szkaplerzna","1650","5577","9","50","36","3"
"430","WieszczArchGur","1650","3431","6","52","22","1"
"431","WieszczOgrodGur","1650","2492","3","26","4","1"
"432","AnzObjWas","1651","22669","34","325","103","57"
"433","DialChrysOkon","1651","3611","10","77","11","6"
"434","KenEwinBad","1651","1245","5","32","3","8"
"435","KoniecZRod","1651","12108","105","157","48","6"
"436","MatlBabBad","1651","3483","8","56","2","3"
"437","BialJBratBarI","1652","1484","0","37","15","0"
"438","CezMelBarII","1652","757","2","12","7","3"
"439","WotSierpGeb","1652","2216","2","8","2","0"
"440","LubiecKsiazka","1653","5056","33","70","27","10"
"441","PolPar","1653","8030","7","116","33","5"
"442","PrzetObBar_I","1653","913","3","17","5","0"
"443","MorszAUtwKuk","1654","58094","158","1127","519","3"
"444","SatPodBar_II","1654","1987","1","60","24","0"
"445","ZimSRoks","1654","13700","68","184","72","6"
"446","NeuPoj","1655","1220","4","36","13","0"
"447","PunKwarKoniec","1655","331","1","1","0","1"
"448","DialSwietOkon","1656","3035","12","79","11","3"
"449","NiebMSatBar_I","1658","1292","13","25","12","1"
"450","FredPrzysl","1659","8711","22","239","24","1"
"451","NaukaBud","1659","6464","16","59","45","2"
"452","OdymWZalKoniec","1659","9847","51","169","34","0"
"453","FredPiech","1660","4238","25","98","16","4"
"454","KoniecAListy","1660","679","5","4","6","0"
"455","DialPanOkon","1661","4754","2","115","28","2"
"456","MerkPol","1661","26484","98","457","208","16"
"457","TwarSRytTur","1661","29847","218","575","176","0"
"458","JanKazKoniec","1662","176","0","0","1","0"
"459","OpalLPoeta","1662","2734","6","53","14","1"
"460","DzienTatom","1663","14166","74","174","100","0"
"461","KoniecSMon","1663","380","0","5","1","1"
"462","ReyWKoniec","1663","167","0","3","0","1"
"463","FurUwaz","1664","11510","25","274","68","14"
"464","GawDworz","1664","17942","42","254","40","2"
"465","DelicWlos","1665","30004","108","364","145","6"
"466","DruzbDroga","1665","74665","144","1202","212","78"
"467","SobJListy","1665","101797","353","2273","1480","7"
"468","LubJMan","1666","38638","81","571","330","31"
"469","OpisUtar","1666","1220","4","36","13","0"
"470","PersOb","1666","22654","45","338","258","15"
"471","MloszResBar_II","1667","701","0","7","4","0"
"472","GawBukBar_II","1668","2653","3","49","14","0"
"473","KochBerTur","1668","1669","1","24","8","0"
"474","PotFrasz4Kuk_I","1669","54241","379","1190","534","0"
"475","BolesEcho","1670","25694","36","375","54","65"
"476","OdymWSwiatBar_I","1670","844","6","26","4","5"
"477","PotWoj","1670","89131","548","1850","788","4"
"478","SatStesBar_II","1670","2465","6","49","15","0"
"479","BarLLutBarI","1671","799","1","33","6","0"
"480","MalinaKanBar_I","1671","150","0","0","0","0"
"481","ConKoniec","1672","685","0","0","0","0"
